Rxn name	Formula	Gene-reaction association	LB	UB	Objective
NGAM	ATP_c[c] + H2O_c[c]  -> ADP_c[c] + Phosphate_c[c] 		  0.00	   Inf	  0.00
Biomass	0.165 AMP_c[c] + 71.94 ATP_c[c] + 0.126 CMP_c[c] + 0.2028 GMP_c[c] + 0.1279 Glycine_c[c] + 71.94 H2O_c[c] + 0.1012 L_Alanine_c[c] + 0.0563 L_Arginine_c[c] + 0.1767 L_Asparagine_c[c] + 0.1754 L_Aspartate_c[c] + 0.2022 L_Cysteine_c[c] + 0.2382 L_Glutamate_c[c] + 0.3595 L_Glutamine_c[c] + 0.0844 L_Histidine_c[c] + 0.0671 L_Isoleucine_c[c] + 0.1822 L_Leucine_c[c] + 0.1956 L_Lysine_c[c] + 0.0617 L_Methionine_c[c] + 0.0866 L_Phenylalanine_c[c] + 0.4334 L_Proline_c[c] + 0.1228 L_Serine_c[c] + 0.0814 L_Threonine_c[c] + 0.0472 L_Tryptophan_c[c] + 0.0646 L_Tyrosine_c[c] + 0.0922 L_Valine_c[c] + 0.0375 Lipid_c[c] + 0.0176 Lipoteichoic_acid_c[c] + 0.119 Peptidoglycan_c[c] + Polysaccharide_c[c] + 0.136 UMP_c[c] + 0.0967 dAMP_c[c] + 0.084 dCMP_c[c] + 0.084 dGMP_c[c] + 0.0967 dTMP_c[c]  -> 71.94 ADP_c[c] + Biomass_c[c] + 71.94 Phosphate_c[c] 		  0.00	   Inf	  0.00
GAM	0.165 AMP_c[c] + 0.126 CMP_c[c] + 0.2028 GMP_c[c] + 0.1279 Glycine_c[c] + 0.1012 L_Alanine_c[c] + 0.0563 L_Arginine_c[c] + 0.1767 L_Asparagine_c[c] + 0.1754 L_Aspartate_c[c] + 0.2022 L_Cysteine_c[c] + 0.2382 L_Glutamate_c[c] + 0.3595 L_Glutamine_c[c] + 0.0844 L_Histidine_c[c] + 0.0671 L_Isoleucine_c[c] + 0.1822 L_Leucine_c[c] + 0.1956 L_Lysine_c[c] + 0.0617 L_Methionine_c[c] + 0.0866 L_Phenylalanine_c[c] + 0.4334 L_Proline_c[c] + 0.1228 L_Serine_c[c] + 0.0814 L_Threonine_c[c] + 0.0472 L_Tryptophan_c[c] + 0.0646 L_Tyrosine_c[c] + 0.0922 L_Valine_c[c] + 0.0375 Lipid_c[c] + 0.0176 Lipoteichoic_acid_c[c] + 0.119 Peptidoglycan_c[c] + Polysaccharide_c[c] + 0.136 UMP_c[c] + 0.0967 dAMP_c[c] + 0.084 dCMP_c[c] + 0.084 dGMP_c[c] + 0.0967 dTMP_c[c]  -> Biomass_c[c] 		  0.00	   Inf	  0.00
R_Lipid	0.425 Cardiolipin_c[c] + 0.303 Diglucosyldiacylglycerol_c[c] + 0.04 Monoglucosyldiacylglycerol_c[c] + 0.232 Phosphatidylglycerol_c[c]  -> Lipid_c[c] 		  0.00	   Inf	  0.00
R_LTA	6.08 D_Alanine_c[c] + Diglucosyldiacylglycerol_c[c] + Glycerol_3_phosphate_c[c] + 14 H2O_c[c] + 15 Phosphatidylglycerol_c[c] + 9.76 UDP_galactose_c[c]  -> 15 1_2_Diacyl_sn_glycerol_c[c] + Lipoteichoic_acid_c[c] + 9.76 UDP_c[c] 		  0.00	   Inf	  0.00
R_PG	uaagmda_c[c]  -> Bactoprenyl_diphosphate_c[c] + Peptidoglycan_c[c] 		  0.00	   Inf	  0.00
R_PS	0.0557 UDP_galactose_c[c] + 0.2189 UDP_glucose_c[c]  -> Polysaccharide_c[c] + 0.2746 UDP_c[c] 		  0.00	   Inf	  0.00
EXBiomass	Biomass_c[c]  -> 		  0.00	   Inf	  1.00
EX0001	Glucose_e[e]  -> 		  0.00	   Inf	  0.00
EX0002	L_Lactate_e[e]  -> 		  0.00	   Inf	  0.00
EX0003	CO2_e[e]  -> 		  0.00	   Inf	  0.00
EX0004	O2_e[e]  -> 		  0.00	   Inf	  0.00
EX0005	NH3_e[e]  -> 		  0.00	   Inf	  0.00
EX0006	Phosphate_e[e]  -> 		  0.00	   Inf	  0.00
EX0007	Sulfate_e[e]  -> 		  0.00	   Inf	  0.00
EX0008	Thiamin_e[e]  -> 		  0.00	   Inf	  0.00
EX0009	Fe2+_e[e]  -> 		  0.00	   Inf	  0.00
EX0010	Folate_e[e]  -> 		  0.00	   Inf	  0.00
EX0011	Guanine_e[e]  -> 		  0.00	   Inf	  0.00
EX0012	H+_e[e]  -> 		  0.00	   Inf	  0.00
EX0013	H2O_e[e]  -> 		  0.00	   Inf	  0.00
EX0014	L_Alanine_e[e]  -> 		  0.00	   Inf	  0.00
EX0015	L_Arginine_e[e]  -> 		  0.00	   Inf	  0.00
EX0016	L_Cysteine_e[e]  -> 		  0.00	   Inf	  0.00
EX0017	L_Glutamate_e[e]  -> 		  0.00	   Inf	  0.00
EX0018	L_Histidine_e[e]  -> 		  0.00	   Inf	  0.00
EX0019	L_Isoleucine_e[e]  -> 		  0.00	   Inf	  0.00
EX0020	L_Leucine_e[e]  -> 		  0.00	   Inf	  0.00
EX0021	L_Methionine_e[e]  -> 		  0.00	   Inf	  0.00
EX0022	L_Threonine_e[e]  -> 		  0.00	   Inf	  0.00
EX0023	L_Valine_e[e]  -> 		  0.00	   Inf	  0.00
EX0024	L_Tyrosine_e[e]  -> 		  0.00	   Inf	  0.00
EX0025	(R)_3_Hydroxybutanoate_e[e]  -> 		  0.00	   Inf	  0.00
EX0026	2_Oxoglutarate_e[e]  -> 		  0.00	   Inf	  0.00
EX0027	Acetoin_e[e]  -> 		  0.00	   Inf	  0.00
EX0028	Cellobiose_e[e]  -> 		  0.00	   Inf	  0.00
EX0029	Choline_e[e]  -> 		  0.00	   Inf	  0.00
EX0030	Cytosine_e[e]  -> 		  0.00	   Inf	  0.00
EX0031	D_Alanine_e[e]  -> 		  0.00	   Inf	  0.00
EX0032	D_Fructose_e[e]  -> 		  0.00	   Inf	  0.00
EX0033	D_Gluconate_e[e]  -> 		  0.00	   Inf	  0.00
EX0034	D_Mannose_e[e]  -> 		  0.00	   Inf	  0.00
EX0035	D_Ribose_e[e]  -> 		  0.00	   Inf	  0.00
EX0036	Ethanol_e[e]  -> 		  0.00	   Inf	  0.00
EX0037	Formate_e[e]  -> 		  0.00	   Inf	  0.00
EX0038	Fumarate_e[e]  -> 		  0.00	   Inf	  0.00
EX0039	GABA_e[e]  -> 		  0.00	   Inf	  0.00
EX0040	Galactose_e[e]  -> 		  0.00	   Inf	  0.00
EX0041	Glycerol_e[e]  -> 		  0.00	   Inf	  0.00
EX0042	Hypoxanthine_e[e]  -> 		  0.00	   Inf	  0.00
EX0043	L_Arabinose_e[e]  -> 		  0.00	   Inf	  0.00
EX0044	L_Asparagine_e[e]  -> 		  0.00	   Inf	  0.00
EX0045	L_Aspartate_e[e]  -> 		  0.00	   Inf	  0.00
EX0046	L_Glutamine_e[e]  -> 		  0.00	   Inf	  0.00
EX0047	Glycine_e[e]  -> 		  0.00	   Inf	  0.00
EX0048	L_Inositol_e[e]  -> 		  0.00	   Inf	  0.00
EX0049	L_Lysine_e[e]  -> 		  0.00	   Inf	  0.00
EX0050	L_Malate_e[e]  -> 		  0.00	   Inf	  0.00
EX0051	L_Phenylalanine_e[e]  -> 		  0.00	   Inf	  0.00
EX0052	L_Proline_e[e]  -> 		  0.00	   Inf	  0.00
EX0053	L_Tryptophan_e[e]  -> 		  0.00	   Inf	  0.00
EX0054	Maltose_e[e]  -> 		  0.00	   Inf	  0.00
EX0055	Melibiose_e[e]  -> 		  0.00	   Inf	  0.00
EX0056	Ornithine_e[e]  -> 		  0.00	   Inf	  0.00
EX0057	PPi_e[e]  -> 		  0.00	   Inf	  0.00
EX0058	Putrescine_e[e]  -> 		  0.00	   Inf	  0.00
EX0059	riboflavin_e[e]  -> 		  0.00	   Inf	  0.00
EX0060	L_Serine_e[e]  -> 		  0.00	   Inf	  0.00
EX0061	Succinate_e[e]  -> 		  0.00	   Inf	  0.00
EX0062	Sucrose_e[e]  -> 		  0.00	   Inf	  0.00
EX0063	Thyminose_e[e]  -> 		  0.00	   Inf	  0.00
EX0064	Trehalose_e[e]  -> 		  0.00	   Inf	  0.00
EX0065	Uracil_e[e]  -> 		  0.00	   Inf	  0.00
EX0066	Urea_e[e]  -> 		  0.00	   Inf	  0.00
EX0067	Xylose_e[e]  -> 		  0.00	   Inf	  0.00
EX0068	Acetate_e[e]  -> 		  0.00	   Inf	  0.00
EX0069	Citrate_e[e]  -> 		  0.00	   Inf	  0.00
EX0070	Pyruvate_e[e]  -> 		  0.00	   Inf	  0.00
R0072	Galactose_1_phosphate_c[c] + H2O_c[c]  -> Galactose_c[c] + Phosphate_c[c] 		  0.00	   Inf	  0.00
R0218	1_2_Diacyl_sn_glycerol_c[c] + Glycerophosphoglycoglycerolipid_c[c]  -> Diglucosyldiacylglycerol_c[c] + Phosphatidylglycerol_c[c] 	Bcoa_3261	  0.00	   Inf	  0.00
R0228	H2O_c[c] + Phosphatidylglycerophosphate_c[c]  -> Phosphate_c[c] + Phosphatidylglycerol_c[c] 		  0.00	   Inf	  0.00
R0256	H2O_c[c] + dGTP_c[c]  -> Deoxyguanosine_c[c] + Triphosphate_c[c] 	Bcoa_1409	  0.00	   Inf	  0.00
R0371	L_Threonine_c[c] + NAD_c[c]  -> H+_c[c] + L_2_Amino_acetoacetate_c[c] + NADH_c[c] 	Bcoa_0777	  0.00	   Inf	  0.00
R0403	2_isopropyl_3_oxosuccinate_c[c]  -> 4MOP_c[c] + CO2_c[c] 		  0.00	   Inf	  0.00
R0413	3_Methylcrotonyl_CoA_c[c] + FADH2_c[c]  -> FAD_c[c] + Isovaleryl_CoA_c[c] 	Bcoa_1870	  0.00	   Inf	  0.00
R0445	Ornithine_c[c]  -> L_Proline_c[c] + NH3_c[c] 	Bcoa_2333	  0.00	   Inf	  0.00
R0453	L_Glutamate5_semialdehyde_c[c]  -> 1_Pyrroline_5_carboxylate_c[c] + H2O_c[c] 		  0.00	   Inf	  0.00
R0530	H2O_c[c] + Nicotinamide_c[c]  -> NH3_c[c] + Niacin_c[c] 	Bcoa_1535	  0.00	   Inf	  0.00
R0584	CoproporphyrinogenIII_c[c] + O2_c[c]  -> 2 CO2_c[c] + 2 H2O_c[c] + ProtoporphyrinogenIX_c[c] 	Bcoa_2759	  0.00	   Inf	  0.00
T0001	(R)_3_Hydroxybutanoate_e[e]  -> (R)_3_Hydroxybutanoate_c[c] 	Unknown	  0.00	   Inf	  0.00
T0002	Fumarate_e[e] + H+_e[e]  -> Fumarate_c[c] + H+_c[c] 	Bcoa_0921	  0.00	   Inf	  0.00
T0003	H+_e[e] + L_Malate_e[e]  -> H+_c[c] + L_Malate_c[c] 	Bcoa_0921	  0.00	   Inf	  0.00
T0004	2_Oxoglutarate_e[e] + H+_e[e]  -> 2_Oxoglutarate_c[c] + H+_c[c] 	Bcoa_1845	  0.00	   Inf	  0.00
T0005	Acetate_e[e] + H+_e[e]  -> Acetate_c[c] + H+_c[c] 		  0.00	   Inf	  0.00
T0006	Acetoin_e[e] + H+_e[e]  -> Acetoin_c[c] + H+_c[c] 		  0.00	   Inf	  0.00
T0007	Citrate_e[e] + H+_e[e]  -> Citrate_c[c] + H+_c[c] 	Bcoa_0934	  0.00	   Inf	  0.00
T0008	CO2_e[e]  -> CO2_c[c] 	Unknown	  0.00	   Inf	  0.00
T0009	Ethanol_e[e]  -> Ethanol_c[c] 		  0.00	   Inf	  0.00
T0010	Folate_e[e] + H+_e[e]  -> Folate_c[c] + H+_c[c] 		  0.00	   Inf	  0.00
T0011	Formate_e[e] + H+_e[e]  -> Formate_c[c] + H+_c[c] 	Bcoa_2166 or Bcoa_0745	  0.00	   Inf	  0.00
T0012	Glycerol_c[c]  -> Glycerol_e[e] 	Bcoa_0924	  0.00	   Inf	  0.00
T0013	Guanine_e[e] + H+_e[e]  -> Guanine_c[c] + H+_c[c] 	Unknown	  0.00	   Inf	  0.00
T0014	Cytosine_e[e] + H+_e[e]  -> Cytosine_c[c] + H+_c[c] 	Bcoa_0814 or Bcoa_0833 or Bcoa_0558	  0.00	   Inf	  0.00
T0015	D_Alanine_e[e] + H+_e[e]  -> D_Alanine_c[c] + H+_c[c] 	Bcoa_3193 or Bcoa_0963	  0.00	   Inf	  0.00
T0016	D_Gluconate_e[e] + H+_e[e]  -> D_Gluconate_c[c] + H+_c[c] 	Bcoa_1740 or Bcoa_1048	  0.00	   Inf	  0.00
T0017	GABA_e[e] + H+_e[e]  -> GABA_c[c] + H+_c[c] 	Bcoa_0554	  0.00	   Inf	  0.00
